Title 	 NN
light 	 JJ
enough 	 RB
for 	 IN
automotive 	 JJ
or 	 CC
aerospace 	 JJ
applications 	 NNS
. 	 .
It 	 PRP
’s 	 VBZ
a 	 DT
difficult 	 JJ
combination 	 NN
, 	 ,
but 	 CC
we 	 PRP
’ve 	 VB
succeeded 	 VBN
. 	 .
Our 	 PRP$
device 	 NN
attenuates 	 VBZ
99 	 CD
percent 	 NN
of 	 IN
800 	 CD
Hz 	 NNP
waves 	 NNS
, 	 ,
which 	 WDT
is 	 VBZ
  	 _SP
the 	 DT
typical 	 JJ
frequency 	 NN
range 	 NN
of 	 IN
vowels 	 NNS
in 	 IN
human 	 JJ
speech 	 NN
” 	 ''
. 	 .

 	 _SP
The 	 DT
Empa 	 NNP
team 	 NN
will 	 MD
insert 	 VB
their 	 PRP$
structure 	 NN
into 	 IN
a 	 DT
sandwich 	 NN
of 	 IN
polymers 	 NNS
to 	 TO
test 	 VB
it 	 PRP
as 	 IN
room 	 NN
panels 	 NNS
. 	 .
As 	 IN
the 	 DT
arrangement 	 NN
is 	 VBZ
largely 	 RB
empty 	 JJ
, 	 ,
it 	 PRP
lets 	 VBZ
most 	 JJS
light 	 NN
through 	 RB
. 	 .
While 	 IN
too 	 RB
thick 	 JJ
( 	 -LRB-
10 	 CD
cm 	 NNS
) 	 -RRB-
to 	 TO
serve 	 VB
as 	 IN
a 	 DT
window 	 NN
, 	 ,
it 	 PRP
could 	 MD
be 	 VB
used 	 VBN
in 	 IN
sound 	 NN
- 	 HYPH
proofing 	 VBG
panes 	 NNS
separating 	 VBG
rooms 	 NNS
without 	 IN
blocking 	 VBG
out 	 RP
daylight 	 NN
. 	 .
