Title 	 PROPN___
AC-130 	 PROPN___
, 	 PUNCT___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
combinaison 	 NOUN__Gender=Fem|Number=Sing
d' 	 ADP___
avion 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
transport 	 NOUN__Gender=Masc|Number=Sing
et 	 CCONJ___
de 	 ADP___
combat 	 NOUN__Gender=Masc|Number=Sing
, 	 PUNCT___
était 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin
équipé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
d' 	 ADP___
armes 	 NOUN__Gender=Fem|Number=Plur
à 	 ADP___
micro-ondes 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
L' 	 DET__Definite=Def|Number=Sing|PronType=Art
entreprise 	 NOUN__Gender=Fem|Number=Sing
Raytheon 	 PROPN__Gender=Masc|Number=Sing
teste 	 ADJ__Number=Sing
depuis 	 ADP___
quelques 	 DET__Definite=Ind|Number=Plur|PronType=Art
années 	 NOUN__Gender=Fem|Number=Plur
déjà 	 ADV___
son 	 DET__Number=Sing|Poss=Yes
Active 	 NOUN__Gender=Fem|Number=Sing
Denial 	 PROPN___
Systems 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
, 	 PUNCT___
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
émetteur 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
micro-ondes 	 NOUN__Gender=Fem|Number=Plur
focalisées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
utile 	 ADJ__Number=Sing
par 	 ADP___
exemple 	 NOUN__Gender=Masc|Number=Sing
lors 	 ADV___
d' 	 ADP___
émeutes 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
ondes 	 NOUN__Gender=Masc|Number=Plur
génèrent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
chaleur 	 NOUN__Gender=Fem|Number=Sing
locale 	 ADJ__Gender=Fem|Number=Sing
dans 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
peau 	 NOUN__Gender=Fem|Number=Sing
qui 	 PRON__PronType=Rel
provoque 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
d' 	 ADP___
intenses 	 ADJ__Number=Plur
douleurs 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
L' 	 DET__Definite=Def|Number=Sing|PronType=Art
innocuité 	 NOUN__Gender=Fem|Number=Sing
à 	 ADP___
moyen 	 ADJ__Gender=Masc|Number=Sing
terme 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
ces 	 DET__Number=Plur|PronType=Dem
armes 	 NOUN__Gender=Fem|Number=Plur
reste 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
débattue 	 ADP___
. 	 PUNCT___
Certains 	 DET__Gender=Masc|Number=Plur
experts 	 NOUN__Number=Plur
pensent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
que 	 SCONJ___
ces 	 DET__Number=Plur|PronType=Dem
systèmes 	 NOUN__Gender=Masc|Number=Plur
ne 	 ADV__Polarity=Neg
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
pas 	 ADV__Polarity=Neg
encore 	 ADV___
largement 	 ADV___
utilisés 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
pour 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
motifs 	 NOUN__Gender=Masc|Number=Plur
plus 	 ADV___
politiques 	 ADJ__Number=Plur
que 	 SCONJ___
techniques 	 ADJ__Number=Plur
. 	 PUNCT___

 	 _SP
Canons 	 NOUN__Gender=Fem|Number=Plur
laser 	 VERB__VerbForm=Inf

 	 _SP
Des 	 DET__Definite=Ind|Number=Plur|PronType=Art
armes 	 NOUN__Gender=Fem|Number=Plur
au 	 X___
laser 	 VERB__VerbForm=Inf
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
au 	 X___
point 	 NOUN__Gender=Masc|Number=Sing
depuis 	 ADP___
quelques 	 DET__Definite=Ind|Number=Plur|PronType=Art
années 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
navire 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
combat 	 NOUN__Gender=Masc|Number=Sing
américain 	 ADJ__Gender=Masc|Number=Sing
USS 	 PROPN___
Ponce 	 NOUN__Gender=Fem|Number=Sing
patrouille 	 ADJ__Gender=Fem|Number=Sing
depuis 	 ADP___
2014 	 NUM__NumType=Card
dans 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
Golfe 	 PROPN___
persique 	 ADJ__Number=Sing
équipé 	 NOUN__Gender=Masc|Number=Sing
d' 	 ADP___
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
canon 	 NOUN__Gender=Masc|Number=Sing
laser 	 VERB__VerbForm=Inf
dont 	 PRON__PronType=Rel
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
puissance 	 NOUN__Gender=Fem|Number=Sing
exacte 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
demeure 	 ADJ__Gender=Fem|Number=Sing
secrète 	 ADJ__Gender=Fem|Number=Sing
. 	 PUNCT___
Des 	 DET__Definite=Ind|Number=Plur|PronType=Art
experts 	 NOUN__Number=Plur
pensent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
qu' 	 SCONJ___
il 	 PRON__Gender=Masc|Number=Sing|Person=3
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
basé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
sur 	 ADP___
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
laser 	 VERB__VerbForm=Inf
standard 	 ADJ___
de 	 ADP___
30 	 NUM__NumType=Card
kilowatts 	 NOUN__Gender=Masc|Number=Plur
et 	 CCONJ___
qu' 	 SCONJ___
il 	 PRON__Gender=Masc|Number=Sing|Person=3
offre 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
portée 	 NOUN__Gender=Fem|Number=Sing
d' 	 ADP___
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
kilomètre 	 NOUN__Gender=Masc|Number=Sing
pour 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
objectifs 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
faible 	 ADJ__Number=Sing
épaisseur 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___
L' 	 DET__Definite=Def|Number=Sing|PronType=Art
Office 	 PROPN__Number=Sing
of 	 X___
Naval 	 X___
Research 	 PROPN___
travaillerait 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin
sur 	 ADP___
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
successeur 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
100 	 NUM__NumType=Card
kilowatts 	 NOUN__Gender=Masc|Number=Plur
. 	 PUNCT___

 	 _SP
Insectes 	 NOUN__Number=Plur
cyborgs 	 NOUN__Gender=Masc|Number=Plur

 	 _SP
Hybrid 	 PROPN__Gender=Masc|Number=Sing
Insect 	 PROPN___
Micro 	 PROPN___
- 	 PUNCT___
Electro 	 NOUN__Gender=Fem|Number=Plur
- 	 PUNCT___
Mechanical 	 NOUN__Gender=Masc|Number=Sing
Systems 	 VERB__Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
: 	 PUNCT___
c' 	 PRON__Number=Sing|Person=3
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
nom 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
un 	 PRON__Gender=Masc|Number=Sing|PronType=Rel
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
programmes 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
les 	 DET__Definite=Def|Number=Plur|PronType=Art
plus 	 ADV___
surprenants 	 ADJ__Gender=Masc|Number=Plur
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
Defense 	 NOUN__Gender=Fem|Number=Sing
Advanced 	 NOUN__Gender=Masc|Number=Plur
Research 	 PROPN__Gender=Masc|Number=Sing
Projects 	 NOUN__Gender=Masc|Number=Plur
Agency 	 PROPN___
( 	 PUNCT___
Darpa 	 PROPN___
) 	 PUNCT___
, 	 PUNCT___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
division 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
du 	 DET__Gender=Masc|Number=Sing
département 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
Défense 	 NOUN__Gender=Fem|Number=Sing
américain 	 ADJ__Gender=Masc|Number=Sing
. 	 PUNCT___
Il 	 PRON__Gender=Masc|Number=Sing|Person=3
tente 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
d' 	 ADP___
élever 	 VERB__VerbForm=Inf
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
insectes 	 NOUN__Number=Plur
( 	 PUNCT___
rampants 	 NOUN__Gender=Masc|Number=Plur
ou 	 CCONJ___
volants 	 NOUN__Gender=Masc|Number=Plur
) 	 PUNCT___
hybrides 	 NOUN__Gender=Fem|Number=Plur
télécommandables 	 ADJ__Gender=Fem|Number=Plur
, 	 PUNCT___
en 	 ADP___
leur 	 DET__Number=Sing|Poss=Yes
greffant 	 VERB__Tense=Pres|VerbForm=Part
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
microcontrôleurs 	 NOUN__Gender=Masc|Number=Plur
lorsqu' 	 SCONJ___
ils 	 PRON__Gender=Masc|Number=Plur|Person=3
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
au 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
stade 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
de 	 ADP___
larves 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
domaines 	 NOUN__Gender=Masc|Number=Plur
d' 	 ADP___
utilisation 	 NOUN__Gender=Fem|Number=Sing
concerneraient 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
surtout 	 ADV___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
surveillance 	 NOUN__Gender=Fem|Number=Sing
et 	 CCONJ___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
espionnage 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
Mais 	 CCONJ___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
chercheurs 	 NOUN__Gender=Masc|Number=Plur
ont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
aussi 	 ADV___
pensé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
diffusion 	 NOUN__Gender=Fem|Number=Sing
d' 	 ADP___
armes 	 NOUN__Gender=Fem|Number=Plur
biologiques 	 ADJ__Number=Plur
. 	 PUNCT___
On 	 PRON__Number=Sing|Person=3
ne 	 ADV__Polarity=Neg
sait 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
pratiquement 	 ADV___
rien 	 PRON__Number=Sing|PronType=Rel
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
succès 	 NOUN__Gender=Masc|Number=Plur
concrets 	 ADJ__Gender=Masc|Number=Plur
de 	 ADP___
cette 	 DET__Gender=Fem|Number=Sing|PronType=Dem
recherche 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___

 	 _SP
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
ciel 	 NOUN__Gender=Masc|Number=Sing
vous 	 PRON__Number=Plur|Person=2
tombe 	 VERB__Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin
sur 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
tête 	 NOUN__Gender=Fem|Number=Sing

 	 _SP
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
armes 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
destruction 	 NOUN__Gender=Fem|Number=Sing
massive 	 ADJ__Gender=Fem|Number=Sing
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
interdites 	 ADJ__Number=Plur
dans 	 ADP___
l’ 	 PROPN___
orbite 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
terrestre 	 ADJ__Number=Sing
depuis 	 ADP___
l’ 	 NUM__NumType=Card
accord 	 NOUN__Gender=Masc|Number=Sing
SALT 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
II 	 ADJ__NumType=Card
de 	 ADP___
1979 	 NUM__NumType=Card
, 	 PUNCT___
mais 	 CCONJ___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
armes 	 NOUN__Gender=Fem|Number=Plur
conventionnelles 	 ADJ__Gender=Fem|Number=Plur
continuent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
d’ 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
être 	 AUX__VerbForm=Inf
développées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
. 	 PUNCT___
Dans 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
années 	 NOUN__Gender=Fem|Number=Plur
1950 	 NUM__NumType=Card
, 	 PUNCT___
l’ 	 NUM__NumType=Card
auteur 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
science- 	 ADJ__Gender=Masc|Number=Sing|NumType=Ord
fiction 	 NOUN__Gender=Fem|Number=Sing
Jerry 	 PROPN__Gender=Masc|Number=Sing
Pournelle 	 PROPN___
proposait 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
système 	 NOUN__Gender=Masc|Number=Sing
Thor 	 NOUN__Gender=Fem|Number=Sing
: 	 PUNCT___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
objets 	 NOUN__Gender=Masc|Number=Plur
métalliques 	 ADJ__Number=Plur
lâchés 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
satellites 	 NOUN__Gender=Masc|Number=Plur
avec 	 ADP___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
précision 	 NOUN__Gender=Fem|Number=Sing
extrême 	 ADJ__Number=Sing
. 	 PUNCT___
L’ 	 NOUN__Gender=Masc|Number=Sing
US 	 PROPN___
Air 	 NOUN__Gender=Masc|Number=Sing
Force 	 PROPN___
a 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
présenté 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
il 	 PRON__Number=Sing|Person=3
y 	 PRON__Person=3
a 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
quelques 	 DET__Definite=Ind|Number=Plur|PronType=Art
années 	 NOUN__Gender=Fem|Number=Plur
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
projet 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
tiges 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
tungstène 	 NOUN__Gender=Fem|Number=Sing
d’ 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
dizaine 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
mètres 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
long 	 ADJ__Gender=Masc|Number=Sing
qui 	 PRON__PronType=Rel
résistent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
chaleur 	 NOUN__Gender=Fem|Number=Sing
lors 	 ADV___
de 	 ADP___
l’ 	 NUM__NumType=Card
entrée 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
dans 	 ADP___
l’ 	 NUM__NumType=Card
atmosphère 	 ADJ__Gender=Fem|Number=Sing
. 	 PUNCT___
Elles 	 PRON__Gender=Fem|Number=Plur|Person=3
percuteraient 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
surface 	 NOUN__Gender=Fem|Number=Sing
terrestre 	 ADJ__Number=Sing
à 	 ADP___
plus 	 ADV___
de 	 ADP___
3000 	 NUM__NumType=Card
mètres 	 NOUN__Gender=Masc|Number=Plur
par 	 ADP___
seconde 	 ADJ__Gender=Fem|Number=Sing|NumType=Ord
, 	 PUNCT___
de 	 ADP___
quoi 	 PRON__PronType=Int
pénétrer 	 VERB__VerbForm=Inf
les 	 DET__Definite=Def|Number=Plur|PronType=Art
murs 	 NOUN__Gender=Masc|Number=Plur
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
bunkers 	 NOUN__Gender=Masc|Number=Plur
les 	 DET__Definite=Def|Number=Plur|PronType=Art
plus 	 ADV___
épais 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
. 	 PUNCT___
Mais 	 CCONJ___
l’ 	 NUM__NumType=Card
idée 	 NOUN__Gender=Fem|Number=Sing
reste 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
musique 	 NOUN__Gender=Fem|Number=Sing
d’ 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
avenir 	 NOUN__Gender=Masc|Number=Sing
, 	 PUNCT___
notamment 	 ADV___
à 	 ADP___
cause 	 NOUN__Gender=Fem|Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
coûts 	 NOUN__Gender=Masc|Number=Plur
gigantesques 	 ADJ__Number=Plur
générés 	 ADJ__Gender=Masc|Number=Plur
. 	 PUNCT___

 	 _SP
La 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
guerre 	 NOUN__Gender=Fem|Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
robots 	 NOUN__Gender=Masc|Number=Plur

 	 _SP
La 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
science 	 NOUN__Gender=Fem|Number=Sing
- 	 PUNCT___
fiction 	 NOUN__Gender=Fem|Number=Sing
imagine 	 ADJ__Gender=Fem|Number=Sing
volontiers 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
champs 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
bataille 	 NOUN__Gender=Fem|Number=Sing
où 	 PRON__PronType=Rel
les 	 DET__Definite=Def|Number=Plur|PronType=Art
machines 	 NOUN__Gender=Fem|Number=Plur
règleront 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin
entre 	 ADP___
elles 	 PRON__Gender=Fem|Number=Plur|Person=3
les 	 DET__Definite=Def|Number=Plur|PronType=Art
conflits 	 NOUN__Gender=Masc|Number=Plur
. 	 PUNCT___
Mais 	 CCONJ___
bien 	 ADV___
entendu 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
, 	 PUNCT___
elles 	 PRON__Gender=Fem|Number=Plur|Person=3
pourraient 	 VERB__Mood=Cnd|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
être 	 AUX__VerbForm=Inf
également 	 ADV___
utilisées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
contre 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
êtres 	 NOUN__Gender=Fem|Number=Plur
humains 	 NOUN__Gender=Masc|Number=Plur
. 	 PUNCT___
Equipés 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
capteurs 	 NOUN__Gender=Masc|Number=Plur
thermiques 	 ADJ__Number=Plur
, 	 PUNCT___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
robots 	 NOUN__Gender=Masc|Number=Plur
quadrupèdes 	 ADJ__Gender=Fem|Number=Plur
de 	 ADP___
Boston 	 PROPN__Gender=Masc|Number=Sing
Dynamics 	 PROPN___
– 	 PUNCT___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
société 	 NOUN__Gender=Fem|Number=Sing
rachetée 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
en 	 ADP___
2013 	 NUM__NumType=Card
par 	 ADP___
Google 	 NOUN__Gender=Masc|Number=Sing
– 	 PUNCT___
ont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
été 	 AUX__Tense=Past|VerbForm=Part
développés 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
pour 	 ADP___
servir 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
mules 	 ADJ__Gender=Fem|Number=Plur
mécaniques 	 NOUN__Gender=Fem|Number=Plur
à 	 ADP___
l’ 	 PROPN__Gender=Masc|Number=Sing
armée 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___
Et 	 CCONJ___
laissent 	 ADV___
penser 	 VERB__VerbForm=Inf
que 	 SCONJ___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
technologie 	 NOUN__Gender=Fem|Number=Sing
sera 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
jour 	 NOUN__Gender=Masc|Number=Sing
suffisamment 	 ADV___
avancée 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
pour 	 ADP___
envoyer 	 VERB__VerbForm=Inf
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
robots 	 NOUN__Gender=Masc|Number=Plur
traquer 	 VERB__VerbForm=Inf
les 	 DET__Definite=Def|Number=Plur|PronType=Art
soldats 	 NOUN__Gender=Masc|Number=Plur
adverses 	 ADJ__Gender=Fem|Number=Plur
. 	 PUNCT___
Des 	 DET__Definite=Ind|Number=Plur|PronType=Art
algorithmes 	 NOUN__Gender=Masc|Number=Plur
qui 	 PRON__PronType=Rel
prennent 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin
seuls 	 ADJ__Gender=Masc|Number=Plur
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
décisions 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
vie 	 NOUN__Gender=Fem|Number=Sing
ou 	 CCONJ___
de 	 ADP___
mort 	 NOUN__Gender=Fem|Number=Sing
posent 	 ADV___
de 	 DET__Definite=Ind|Number=Plur|PronType=Art
nouvelles 	 ADJ__Gender=Fem|Number=Plur
questions 	 NOUN__Gender=Fem|Number=Plur
éthiques 	 ADJ__Number=Plur
. 	 PUNCT___
L’ 	 NOUN__Gender=Masc|Number=Sing
an 	 NOUN__Gender=Masc|Number=Sing
dernier 	 ADJ__Gender=Masc|Number=Sing|NumType=Ord
, 	 PUNCT___
2 	 NUM__NumType=Card
000 	 NUM__NumType=Card
personnalités 	 NOUN__Gender=Fem|Number=Plur
, 	 PUNCT___
dont 	 PRON__PronType=Rel
Stephen 	 PROPN__Gender=Masc|Number=Sing
Hawking 	 PROPN___
, 	 PUNCT___
Steve 	 X___
Wozniak 	 PROPN___
et 	 CCONJ___
Noam 	 X___
Chomsky 	 PROPN___
, 	 PUNCT___
ont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
déclaré 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
leur 	 DET__Number=Sing|Poss=Yes
opposition 	 NOUN__Gender=Fem|Number=Sing
à 	 ADP___
