Title 	 NE
vierbeinigen 	 ADJA
Roboter 	 NN
von 	 APPR
Boston 	 NE
Dynamics 	 NE
– 	 $(
2013 	 CARD
von 	 APPR
Google 	 NE
aufgekauft 	 VVPP
– 	 $(
wurden 	 VAFIN
als 	 APPR
maschinelle 	 ADJA
Militär-Lastesel 	 NN
entwickelt 	 VVPP
. 	 $.
Die 	 ART
Maschinen 	 NN
sind 	 VAFIN
mit 	 APPR
Wärmesensoren 	 NN
ausgestattet 	 VVPP
und 	 KON
laufen 	 VVFIN
schön 	 ADJD
bei 	 APPR
Fuss 	 NE
. 	 $.
Sie 	 PPER
lassen 	 VVFIN
erahnen 	 VVINF
, 	 $,
dass 	 KOUS
die 	 ART
Technik 	 NN
demnächst 	 ADV
so 	 ADV
weit 	 ADJD
sein 	 VAINF
wird 	 VAFIN
, 	 $,
Roboter 	 NN
auch 	 ADV
zur 	 APPRART
Jagd 	 NN
auf 	 APPR
gegnerische 	 ADJA
Soldaten 	 NN
zu 	 PTKZU
nutzen 	 VVINF
. 	 $.
Algorithmen 	 NN
, 	 $,
die 	 PRELS
autonom 	 NN
über 	 APPR
Leben 	 NN
und 	 KON
Tod 	 NN
entscheiden 	 VVFIN
, 	 $,
werfen 	 VVFIN
neue 	 ADJA
ethische 	 ADJA
Fragen 	 NN
auf 	 PTKVZ
. 	 $.
2015 	 CARD
haben 	 VAFIN
sich 	 PRF
2000 	 CARD
Experten 	 NN
, 	 $,
darunter 	 PROAV
Stephen 	 NE
Hawking 	 NE
, 	 $,
Steve 	 NE
Wozniak 	 NE
und 	 KON
Noam 	 NE
Chomsky 	 NE
, 	 $,
gegen 	 APPR
den 	 ART
Einsatz 	 NN
von 	 APPR
autonomen 	 ADJA
Waffensystemen 	 NN
ausgesprochen 	 VVPP
. 	 $.
Das 	 ART
Thema 	 NN
beschäftigt 	 VVFIN
auch 	 ADV
die 	 ART
Uno 	 NE
. 	 $.
