Title 	 PROPN___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
agricole 	 ADJ__Number=Sing
. 	 PUNCT___
Il 	 PRON__Gender=Masc|Number=Sing|Person=3
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
difficile 	 ADJ__Number=Sing
de 	 ADP___
connaître 	 VERB__VerbForm=Inf
les 	 DET__Definite=Def|Number=Plur|PronType=Art
sommes 	 NOUN__Number=Plur
consacrées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
en 	 ADP___
Suisse 	 PROPN__Gender=Fem|Number=Sing
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
développement 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
Hormis 	 VERB__Gender=Masc|Tense=Past|VerbForm=Part
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
DDC 	 NOUN__Gender=Fem|Number=Sing
, 	 PUNCT___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
hautes 	 NOUN__Gender=Fem|Number=Plur
écoles 	 ADJ__Gender=Fem|Number=Plur
, 	 PUNCT___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
fondations 	 NOUN__Gender=Fem|Number=Plur
, 	 PUNCT___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
ONG 	 NOUN__Gender=Fem|Number=Plur
et 	 CCONJ___
d’ 	 NUM__NumType=Card
autres 	 ADJ__Number=Plur
organisations 	 NOUN__Gender=Fem|Number=Plur
soutiennent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
ce 	 DET__Gender=Masc|Number=Sing|PronType=Dem
domaine 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___

 	 _SP

 	 _SP
Programme 	 ADP___
r4d 	 ADJ__Gender=Masc|Number=Sing

 	 _SP
La 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
DDC 	 NOUN__Gender=Fem|Number=Sing
et 	 CCONJ___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
FNS 	 PROPN__Gender=Masc|Number=Sing
soutiennent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
conjointement 	 ADV___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
partenariats 	 NOUN__Gender=Masc|Number=Plur
scientifiques 	 ADJ__Number=Plur
transnationaux 	 NOUN__Gender=Masc|Number=Plur
avec 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
pays 	 NOUN__Gender=Masc|Number=Plur
d' 	 ADP___
Afrique 	 PROPN__Gender=Fem|Number=Sing
, 	 PUNCT___
d' 	 ADP___
Asie 	 PROPN__Gender=Fem|Number=Sing
et 	 CCONJ___
d' 	 ADP___
Amérique 	 PROPN__Gender=Fem|Number=Sing
latine 	 NOUN__Gender=Fem|Number=Sing
dans 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
cadre 	 NOUN__Gender=Masc|Number=Sing
du 	 DET__Gender=Masc|Number=Sing
Swiss 	 NOUN__Gender=Masc|Number=Sing
Programme 	 PROPN___
for 	 X___
Research 	 PROPN___
on 	 PRON__Number=Sing|Person=3
Global 	 PROPN___
Issues 	 ADJ__Gender=Fem|Number=Plur
for 	 X___
Development 	 X___
( 	 PUNCT___
programme 	 ADP___
r4d 	 NOUN___
) 	 PUNCT___
. 	 PUNCT___
Ce 	 DET__Gender=Masc|Number=Sing|PronType=Dem
dernier 	 ADJ__Gender=Masc|Number=Sing|NumType=Ord
remplace 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
Nord 	 ADJ__Gender=Masc|Number=Sing
- 	 PUNCT___
Sud 	 PROPN___
traditionnelle 	 ADJ__Gender=Fem|Number=Sing
. 	 PUNCT___
Il 	 PRON__Gender=Masc|Number=Sing|Person=3
devrait 	 AUX__Mood=Cnd|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
fournir 	 VERB__VerbForm=Inf
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
contribution 	 NOUN__Gender=Fem|Number=Sing
au 	 PROPN___
développement 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
durable 	 ADJ__Number=Sing
global 	 PROPN___
, 	 PUNCT___
avec 	 ADP___
98 	 NUM__NumType=Card
millions 	 NOUN__Gender=Masc|Number=Plur|NumType=Card
de 	 ADP___
francs 	 NOUN__Gender=Masc|Number=Plur
mis 	 VERB__Gender=Masc|Tense=Past|VerbForm=Part
à 	 ADP___
disposition 	 NOUN__Gender=Fem|Number=Sing
entre 	 ADP___
2012 	 NUM__NumType=Card
et 	 CCONJ___
2022 	 NUM__NumType=Card
. 	 PUNCT___
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
fonds 	 NOUN__Gender=Masc|Number=Plur
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
octroyés 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
selon 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
procédures 	 NOUN__Gender=Fem|Number=Plur
compétitives 	 ADJ__Gender=Fem|Number=Plur
. 	 PUNCT___
Quelque 	 ADV___
225 	 NUM__NumType=Card
partenaires 	 NOUN__Number=Plur
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
impliqués 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
dans 	 ADP___
41 	 NUM__NumType=Card
projets 	 NOUN__Gender=Masc|Number=Plur
répartis 	 ADJ__Gender=Masc|Number=Plur
dans 	 ADP___
42 	 NUM__NumType=Card
pays 	 NOUN__Gender=Masc|Number=Plur
. 	 PUNCT___

 	 _SP
Swiss 	 PROPN___
TPH 	 PROPN___

 	 _SP
Fondé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
en 	 ADP___
1944 	 NUM__NumType=Card
, 	 PUNCT___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
Institut 	 PROPN__Number=Sing
tropical 	 ADJ__Gender=Masc|Number=Sing
et 	 CCONJ___
de 	 ADP___
santé 	 NOUN__Gender=Fem|Number=Sing
publique 	 ADJ__Gender=Fem|Number=Sing
à 	 ADP___
Bâle 	 PROPN__Gender=Masc|Number=Sing
( 	 PUNCT___
Swiss 	 PROPN___
TPH 	 PROPN___
) 	 PUNCT___
jouit 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
d' 	 ADP___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
reconnaissance 	 NOUN__Gender=Fem|Number=Sing
internationale 	 ADJ__Gender=Fem|Number=Sing
dans 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
domaines 	 NOUN__Gender=Masc|Number=Plur
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
maladies 	 NOUN__Gender=Fem|Number=Plur
tropicales 	 ADJ__Gender=Fem|Number=Plur
et 	 CCONJ___
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
santé 	 NOUN__Gender=Fem|Number=Sing
publique 	 ADJ__Gender=Fem|Number=Sing
. 	 PUNCT___
Il 	 PRON__Gender=Masc|Number=Sing|Person=3
s' 	 PRON__Person=3|Reflex=Yes
impose 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
régulièrement 	 ADV___
lors 	 ADV___
d' 	 ADP___
appels 	 NOUN__Gender=Masc|Number=Plur
à 	 ADP___
projet 	 NOUN__Gender=Masc|Number=Sing
dans 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
domaine 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
santé 	 NOUN__Gender=Fem|Number=Sing
face 	 NOUN__Gender=Fem|Number=Sing
à 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
sociétés 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
conseil 	 PROPN__Gender=Masc|Number=Sing
privées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
. 	 PUNCT___
L' 	 DET__Definite=Def|Number=Sing|PronType=Art
institut 	 PROPN__Number=Sing
emploie 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
plus 	 ADV___
de 	 ADP___
700 	 NUM__NumType=Card
collaborateurs 	 NOUN__Gender=Masc|Number=Plur
venant 	 VERB__Tense=Pres|VerbForm=Part
de 	 ADP___
plus 	 ADV___
de 	 ADP___
60 	 NUM__NumType=Card
nations 	 PROPN___
. 	 PUNCT___
Près 	 ADP___
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
moitié 	 NOUN__Gender=Fem|Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
76,7 	 NUM__NumType=Card
millions 	 NOUN__Gender=Masc|Number=Plur|NumType=Card
de 	 ADP___
francs 	 NOUN__Gender=Masc|Number=Plur
dépensés 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
en 	 ADP___
2015 	 PRON__NumType=Card|PronType=Rel
ont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
été 	 AUX__Tense=Past|VerbForm=Part
alloués 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___

 	 _SP
Universités 	 ADJ___

 	 _SP
Presque 	 ADV___
toutes 	 ADJ__Gender=Fem|Number=Plur
les 	 DET__Definite=Def|Number=Plur|PronType=Art
hautes 	 NOUN__Gender=Fem|Number=Plur
écoles 	 ADJ__Gender=Fem|Number=Plur
de 	 ADP___
Suisse 	 PROPN__Gender=Fem|Number=Sing
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
impliquées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
dans 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
développement 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
L' 	 DET__Definite=Def|Number=Sing|PronType=Art
une 	 PRON__Gender=Fem|Number=Sing|PronType=Rel
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
plus 	 ADV___
connues 	 ADJ__Number=Plur
, 	 PUNCT___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
Institut 	 PROPN__Number=Sing
de 	 ADP___
hautes 	 ADJ__Gender=Fem|Number=Plur
études 	 NOUN__Gender=Fem|Number=Plur
internationales 	 ADJ__Gender=Fem|Number=Plur
et 	 CCONJ___
du 	 DET__Gender=Masc|Number=Sing
développement 	 NOUN__Gender=Masc|Number=Sing
( 	 PUNCT___
IHEID 	 NOUN__Gender=Fem|Number=Plur
) 	 PUNCT___
à 	 ADP___
Genève 	 PROPN___
, 	 PUNCT___
travaille 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
sur 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
paix 	 NOUN__Gender=Fem|Number=Sing
, 	 PUNCT___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
environnement 	 NOUN__Gender=Masc|Number=Sing
, 	 PUNCT___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
commerce 	 NOUN__Gender=Masc|Number=Sing
, 	 PUNCT___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
migration 	 NOUN__Gender=Fem|Number=Sing
et 	 CCONJ___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
santé 	 NOUN__Gender=Fem|Number=Sing
, 	 PUNCT___
également 	 ADV___
sur 	 ADP___
mandat 	 NOUN__Gender=Masc|Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
Nations 	 NOUN__Gender=Fem|Number=Plur
Unies 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
Autres 	 ADJ__Number=Plur
exemples 	 NOUN__Gender=Masc|Number=Plur
à 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
Université 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
Berne 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
Centre 	 PROPN__Gender=Masc|Number=Sing
for 	 X___
Development 	 X___
and 	 X___
Environment 	 ADV___
ainsi 	 ADV___
que 	 SCONJ___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
International 	 ADJ__Gender=Masc|Number=Sing
Graduate 	 PROPN___
School 	 PROPN__Gender=Masc|Number=Sing
North- 	 ADJ__Gender=Masc|Number=Sing
South 	 PROPN__Gender=Fem|Number=Sing
( 	 PUNCT___
IGS 	 NOUN___
) 	 PUNCT___
. 	 PUNCT___
Issue 	 INTJ___
du 	 DET__Gender=Masc|Number=Sing
Pôle 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
national 	 ADJ__Gender=Masc|Number=Sing
Nord 	 ADJ__Gender=Masc|Number=Sing
- 	 PUNCT___
Sud 	 PROPN___
, 	 PUNCT___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
objectif 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
cette 	 DET__Gender=Fem|Number=Sing|PronType=Dem
dernière 	 ADJ__Gender=Fem|Number=Sing|NumType=Ord
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
d' 	 ADP___
établir 	 VERB__VerbForm=Inf
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
réseau 	 NOUN__Gender=Masc|Number=Sing
international 	 ADJ__Gender=Masc|Number=Sing
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___
Actuellement 	 ADV___
, 	 PUNCT___
plus 	 ADV___
de 	 ADP___
100 	 NUM__NumType=Card
personnes 	 NOUN__Gender=Fem|Number=Plur
venues 	 ADJ__Gender=Fem|Number=Plur
d' 	 ADP___
Asie 	 PROPN__Gender=Fem|Number=Sing
, 	 PUNCT___
d' 	 ADP___
Afrique 	 PROPN__Gender=Fem|Number=Sing
, 	 PUNCT___
d' 	 ADP___
Amérique 	 PROPN__Gender=Fem|Number=Sing
latine 	 NOUN__Gender=Fem|Number=Sing
et 	 CCONJ___
d' 	 ADP___
Europe 	 PROPN__Gender=Fem|Number=Sing
étudient 	 NOUN__Gender=Masc|Number=Sing
à 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
IGS 	 PROPN__Number=Sing
. 	 PUNCT___

 	 _SP
EPF 	 PROPN___

 	 _SP
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
écoles 	 NOUN__Gender=Fem|Number=Plur
polytechniques 	 ADJ__Number=Plur
fédérales 	 ADJ__Gender=Fem|Number=Plur
s' 	 PRON__Person=3|Reflex=Yes
engagent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin
aussi 	 ADV___
dans 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
développement 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
Centre 	 PROPN__Gender=Masc|Number=Sing
coopération 	 NOUN__Gender=Fem|Number=Sing
& 	 CCONJ___
développement 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
( 	 PUNCT___
CODEV 	 PROPN___
) 	 PUNCT___
de 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
EPFL 	 NOUN__Gender=Masc|Number=Sing
accueille 	 ADJ__Gender=Fem|Number=Sing
depuis 	 ADP___
2007 	 NUM__NumType=Card
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
Chaire 	 NOUN__Gender=Fem|Number=Sing
UNESCO 	 PROPN___
de 	 ADP___
technologies 	 NOUN__Gender=Fem|Number=Plur
en 	 ADP___
faveur 	 NOUN__Gender=Fem|Number=Sing
du 	 DET__Gender=Masc|Number=Sing
développement 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
Il 	 PRON__Gender=Masc|Number=Sing|Person=3
travaille 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
sur 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
techniques 	 NOUN__Gender=Fem|Number=Plur
destinées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
aux 	 ADJ__Gender=Masc|Number=Plur
pays 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
du 	 DET__Gender=Masc|Number=Sing
Sud 	 PROPN___
( 	 PUNCT___
par 	 ADP___
exemple 	 NOUN__Gender=Masc|Number=Sing
dans 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
domaine 	 NOUN__Gender=Masc|Number=Sing
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
réduction 	 NOUN__Gender=Fem|Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
risques 	 NOUN__Gender=Masc|Number=Plur
et 	 CCONJ___
de 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
urbanisme 	 NOUN__Gender=Masc|Number=Sing
) 	 PUNCT___
et 	 CCONJ___
innove 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
dans 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
formation 	 NOUN__Gender=Fem|Number=Sing
avec 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
cours 	 NOUN__Gender=Masc|Number=Plur
en 	 ADP___
ligne 	 NOUN__Gender=Fem|Number=Sing
gratuits 	 ADJ__Gender=Masc|Number=Plur
( 	 PUNCT___
MOOCS 	 PROPN___
) 	 PUNCT___
. 	 PUNCT___
A 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
ETH 	 NOUN__Gender=Fem|Number=Sing
Zurich 	 ADJ__Gender=Masc|Number=Sing
, 	 PUNCT___
différents 	 ADJ__Gender=Masc|Number=Plur
domaines 	 NOUN__Gender=Masc|Number=Plur
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
actifs 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
dans 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
développement 	 NOUN__Gender=Masc|Number=Sing
, 	 PUNCT___
du 	 DET__Gender=Masc|Number=Sing
Mobile 	 NOUN__Gender=Masc|Number=Sing
Health 	 PROPN___
Systems 	 PROPN___
Laboratory 	 PROPN___
au 	 PROPN___
NADEL 	 PROPN___
( 	 PUNCT___
Centre 	 NOUN__Gender=Masc|Number=Sing
d' 	 ADP___
études 	 NOUN__Gender=Fem|Number=Plur
du 	 DET__Gender=Masc|Number=Sing
développement 	 NOUN__Gender=Masc|Number=Sing
et 	 CCONJ___
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
coopération 	 NOUN__Gender=Fem|Number=Sing
) 	 PUNCT___
. 	 PUNCT___

 	 _SP
KFPE 	 PROPN___

 	 _SP
La 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
Commission 	 PROPN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
partenariat 	 NOUN__Gender=Masc|Number=Sing
scientifique 	 ADJ__Number=Sing
avec 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
pays 	 NOUN__Gender=Masc|Number=Plur
en 	 ADP___
développement 	 NOUN__Gender=Masc|Number=Sing
( 	 PUNCT___
KFPE 	 PROPN___
) 	 PUNCT___
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
plate 	 NOUN__Gender=Fem|Number=Sing
- 	 PUNCT___
forme 	 NOUN__Gender=Fem|Number=Sing
d' 	 ADP___
information 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
chercheurs 	 NOUN__Gender=Masc|Number=Plur
. 	 PUNCT___
Son 	 DET__Number=Sing|Poss=Yes
objectif 	 NOUN__Gender=Masc|Number=Sing
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
de 	 ADP___
contribuer 	 VERB__VerbForm=Inf
à 	 ADP___
résoudre 	 VERB__VerbForm=Inf
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
problèmes 	 NOUN__Gender=Masc|Number=Plur
globaux 	 ADJ__Gender=Masc|Number=Plur
par 	 ADP___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
équitable 	 ADJ__Number=Sing
et 	 CCONJ___
durable 	 ADJ__Number=Sing
. 	 PUNCT___
Elle 	 PRON__Gender=Fem|Number=Sing|Person=3
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
financée 	 VERB__Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
par 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
subsides 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
DDC 	 NOUN__Gender=Fem|Number=Sing
, 	 PUNCT___
du 	 DET__Gender=Masc|Number=Sing
FNS 	 NOUN__Gender=Masc|Number=Sing
et 	 CCONJ___
de 	 ADP___
l' 	 DET__Definite=Def|Number=Sing|PronType=Art
Académie 	 PROPN__Number=Sing
suisse 	 ADJ__Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
sciences 	 NOUN__Gender=Fem|Number=Plur
naturelles 	 ADJ__Gender=Fem|Number=Plur
. 	 PUNCT___

 	 _SP
Réseaux 	 PROPN__Gender=Masc|Number=Sing

 	 _SP
Plusieurs 	 DET__Number=Plur
réseaux 	 NOUN__Gender=Masc|Number=Plur
s' 	 PRON__Person=3|Reflex=Yes
engagent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin
pour 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
